"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001217","DNA-binding transcription repressor activity","11/544","56/12387",2.60994808877696e-05,2.60994808877696e-05,0.000380699194904309,"43660/31665/38468/38063/31070/41768/38995/40287/31430/34483/41363",11
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","10/544","48/12387",3.55395065281026e-05,3.55395065281026e-05,0.000500520091938432,"39730/41426/42920/34826/39984/318623/40665/42476/44484/42350",10
"GO:0015079","potassium ion transmembrane transporter activity","11/544","63/12387",8.17051101637388e-05,8.17051101637388e-05,0.00111233623661511,"32780/48971/33028/35111/33599/7354472/42476/45248/31955/5740840/37047",11
"GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","8/544","38/12387",0.000200010095276802,0.000200010095276802,0.00255276042655918,"39730/41426/42920/34826/318623/42476/44484/42350",8
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","8/544","38/12387",0.000200010095276802,0.000200010095276802,0.00255276042655918,"39730/41426/42920/34826/318623/42476/44484/42350",8
"GO:0005231","excitatory extracellular ligand-gated monoatomic ion channel activity","6/544","21/12387",0.000215225397088333,0.000215225397088333,0.0026637146433899,"39730/41426/42920/34826/39984/42350",6
"GO:0004888","transmembrane signaling receptor activity","30/544","344/12387",0.00026891606469227,0.00026891606469227,0.00323032300621054,"39730/41426/3346209/33007/33196/42652/43026/41726/42920/34826/39984/32849/318623/40665/37883/42476/41017/44484/32976/42350/40575/35958/5740629/42258/3885573/37892/33690/43182/42523/41772",30
"GO:0005249","voltage-gated potassium channel activity","7/544","31/12387",0.000317466969949612,0.000317466969949612,0.0037045769726451,"32780/33028/33599/7354472/31955/5740840/37047",7
"GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","8/544","41/12387",0.000347999023369061,0.000347999023369061,0.00394805909553204,"32249/48971/40495/43787/49297/44307/40679/31235",8
"GO:0005267","potassium channel activity","8/544","44/12387",0.000574947256452535,0.000574947256452535,0.00634650172129683,"32780/33028/33599/7354472/42476/31955/5740840/37047",8
"GO:0140297","DNA-binding transcription factor binding","12/544","91/12387",0.000605643151121592,0.000605643151121592,0.00650940561316281,"36241/39987/43769/40287/38070/45976/35540/32976/43162/35332/43767/36171",12
"GO:0004672","protein kinase activity","21/544","219/12387",0.000650793877923419,0.000650793877923419,0.00681533129917103,"43794/48311/3346209/31598/43026/44039/41797/40384/38890/38070/38654/32256/34038/3885567/34132/38433/32097/39241/42289/41772/32120",21
