"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019787","ubiquitin-like protein transferase activity","55/2553","198/12387",0.00925827910193452,0.00925827910193452,0.0351293331897148,"41260/39735/32882/38715/39035/40040/43810/36999/33932/38652/39958/40555/31589/41080/42397/32751/36990/326135/35170/45775/34453/317987/32796/36129/32532/41145/318246/32765/42162/31628/38006/38591/33565/44054/39750/39558/35076/44118/40144/38961/41420/36425/50253/41085/39885/36541/31905/32278/318953/5740853/38873/37857/31746/39217/41826",55
"GO:0008028","monocarboxylic acid transmembrane transporter activity","11/2553","26/12387",0.00989354497842339,0.00989354497842339,0.0372509993114727,"32924/32925/36577/35499/36764/38104/33600/35578/36630/31198/42268",11
"GO:0004879","nuclear receptor activity","10/2553","23/12387",0.011016971552697,0.011016971552697,0.0405452455243696,"35332/31162/40287/33823/32114/35398/38912/35540/41491/36073",10
"GO:0098531","ligand-activated transcription factor activity","10/2553","23/12387",0.011016971552697,0.011016971552697,0.0405452455243696,"35332/31162/40287/33823/32114/35398/38912/35540/41491/36073",10
"GO:1901505","carbohydrate derivative transmembrane transporter activity","10/2553","23/12387",0.011016971552697,0.011016971552697,0.0405452455243696,"43772/31255/43445/31553/39876/31271/35936/33734/39943/35915",10
"GO:0005546","phosphatidylinositol-4,5-bisphosphate binding","9/2553","20/12387",0.0121150512326568,0.0121150512326568,0.0442537220988642,"32746/35956/35340/40863/31704/39052/31816/38306/35058",9
"GO:0030545","signaling receptor regulator activity","35/2553","118/12387",0.0122808559142774,0.0122808559142774,0.044527079923111,"33995/34007/36054/32999/246538/59235/32813/39150/35975/43804/42560/36295/41912/39151/37921/31712/42101/34510/33994/37007/2768718/34192/38047/3346149/41170/45845/42313/36937/39833/3346202/34009/42709/34688/42737/43146",35
"GO:0008194","UDP-glycosyltransferase activity","32/2553","106/12387",0.0123983244546541,0.0123983244546541,0.0446224525651249,"246627/36717/32252/30970/32836/261610/326151/33807/37419/43124/34742/42774/39265/40055/37516/34282/38561/31056/3772101/36614/43563/36079/39608/318981/38346/37198/35138/39262/40314/38288/44058/33512",32
"GO:0003924","GTPase activity","42/2553","147/12387",0.0129522980022293,0.0129522980022293,0.0460194923435657,"38084/36104/41825/30976/37132/35221/34803/117365/42934/39666/41140/31945/14462605/31332/40652/37888/33418/40961/39594/50149/38244/42845/34658/31581/43319/34636/41203/36384/43771/32981/39904/42906/43736/42438/36271/33988/36578/36992/31344/40359/3771960/36127",42
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","8/2553","17/12387",0.0130685461590706,0.0130685461590706,0.0460194923435657,"39564/36445/37455/53425/43875/42160/38559/36283",8
"GO:0016866","intramolecular transferase activity","8/2553","17/12387",0.0130685461590706,0.0130685461590706,0.0460194923435657,"34438/35923/42626/44010/35537/34440/39434/4379908",8
"GO:0004715","non-membrane spanning protein tyrosine kinase activity","6/2553","11/12387",0.0134935449829958,0.0134935449829958,0.0468420934460101,"32080/34132/37233/45821/33965/48973",6
"GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity","6/2553","11/12387",0.0134935449829958,0.0134935449829958,0.0468420934460101,"34826/40521/34304/31767/42918/42920",6
"GO:0005254","chloride channel activity","11/2553","27/12387",0.0136435915394378,0.0136435915394378,0.0470294296948746,"41428/32148/31071/36145/42350/38727/41426/39730/32645/53431/39054",11
"GO:1902936","phosphatidylinositol bisphosphate binding","17/2553","49/12387",0.0154354775403196,0.0154354775403196,0.0521944229971372,"3885642/32746/35956/41074/40649/8673965/42797/35340/35993/40863/40152/5740131/31704/39052/31816/38306/35058",17
"GO:0016829","lyase activity","38/2553","132/12387",0.0154413457805098,0.0154413457805098,0.0521944229971372,"39281/32582/32406/38285/43493/39390/8674026/33351/41825/42801/43682/41238/40302/39516/246620/40085/31915/34689/38911/41070/37131/30986/40333/33081/39835/53432/40153/38484/43294/40180/32216/37143/43183/117419/34553/33108/41503/35419",38
"GO:0015932","nucleobase-containing compound transmembrane transporter activity","10/2553","24/12387",0.0154618962749584,0.0154618962749584,0.0521944229971372,"43772/31255/43445/31553/39876/35941/31271/33734/39943/35915",10
"GO:0016755","aminoacyltransferase activity","55/2553","204/12387",0.016979443543365,0.016979443543365,0.056924594431613,"41260/39735/32882/38715/39035/40040/43810/36999/33932/38652/39958/40555/31589/41080/42397/32751/36990/326135/35170/45775/34453/317987/32796/36129/32532/41145/318246/32765/42162/31628/38006/38591/33565/44054/39750/39558/35076/44118/40144/38961/41420/36425/50253/41085/39885/36541/31905/32278/318953/5740853/38873/37857/31746/39217/41826",55
"GO:0017147","Wnt-protein binding","8/2553","18/12387",0.0193462968777426,0.0193462968777426,0.0644183891740088,"44355/40090/36445/36284/42733/37089/36436/36283",8
"GO:0015108","chloride transmembrane transporter activity","14/2553","39/12387",0.0196381312196997,0.0196381312196997,0.0645124056316521,"41428/31082/32148/31071/36145/42350/38727/41426/35111/39730/32645/53431/39410/39054",14
"GO:0019902","phosphatase binding","14/2553","39/12387",0.0196381312196997,0.0196381312196997,0.0645124056316521,"40102/33003/37820/39588/35442/40032/46456/41427/38714/41737/36673/31942/38988/31151",14
"GO:0019903","protein phosphatase binding","12/2553","32/12387",0.020850680419642,0.020850680419642,0.0675880872347254,"40102/33003/37820/39588/35442/40032/38714/41737/36673/31942/38988/31151",12
"GO:0022853","active monoatomic ion transmembrane transporter activity","33/2553","114/12387",0.0210911032616589,0.0210911032616589,0.0675880872347254,"48971/45012/31082/36826/49297/42341/32142/43442/42481/31317/39255/41550/38521/39939/40551/35111/42216/31342/34863/43787/34997/3354991/37772/34251/44307/31235/37157/45248/40679/45668/36190/39410/35915",33
"GO:0005125","cytokine activity","10/2553","25/12387",0.0211109019561176,0.0211109019561176,0.0675880872347254,"34007/32813/35975/43804/31712/34510/3346149/36937/34009/42709",10
"GO:0004659","prenyltransferase activity","7/2553","15/12387",0.021126727913048,0.021126727913048,0.0675880872347254,"33682/47757/33704/31708/40988/40617/34961",7
"GO:0042578","phosphoric ester hydrolase activity","57/2553","215/12387",0.0213429924231419,0.0213429924231419,0.0678365787885234,"31544/37925/31404/38148/32888/42922/35259/43670/43469/37493/3772427/33845/35295/31500/40081/31376/36968/45278/36911/33396/41997/31194/33107/39748/8674098/44148/35126/35107/35856/31309/43466/36790/33653/32629/38059/32233/36253/39741/38396/40117/33140/32624/34954/40471/39404/37517/31157/40224/39337/42986/39443/41760/31425/37461/40468/39985/31266",57
"GO:0000146","microfilament motor activity","6/2553","12/12387",0.0223412997998403,0.0223412997998403,0.0700992200197418,"35680/2768680/35007/42889/34012/34882",6
"GO:0004653","polypeptide N-acetylgalactosaminyltransferase activity","6/2553","12/12387",0.0223412997998403,0.0223412997998403,0.0700992200197418,"246627/36717/32836/261610/326151/38346",6
"GO:0017111","ribonucleoside triphosphate phosphatase activity","86/2553","342/12387",0.0227584840810266,0.0227584840810266,0.0709533697464123,"38084/36104/48971/41694/43772/45894/39557/44920/35277/41825/30976/49297/47091/43391/37132/35221/34803/117365/32049/42934/39666/41140/31945/32142/32777/14462605/39332/48581/42382/31332/40652/37888/33418/32627/31215/53434/31271/39922/40961/33103/39594/50149/38244/34148/42362/42845/34658/31581/43319/34636/43787/38193/40170/33541/41203/36384/43771/43186/32981/39904/35796/42906/36390/36876/40715/43736/42438/36488/31253/36271/42846/34140/33988/36578/36992/31344/33544/33505/34680/40359/2768929/33185/3771960/261626/43310/36127",86
"GO:0016817","hydrolase activity, acting on acid anhydrides","93/2553","374/12387",0.0244812608049583,0.0244812608049583,0.0758413475969726,"38084/36104/48971/41694/43772/45894/39557/44920/35277/41825/30976/49297/47091/43391/37132/35221/34803/117365/32049/42934/39666/41140/31945/32142/32777/14462605/39332/48581/42382/31332/40652/37888/33418/32627/31215/53434/31497/31271/31194/39922/40961/33103/39594/50149/38244/34148/42362/42845/34658/31581/43319/40543/34636/43787/38193/40170/33541/41203/36384/43771/43186/33495/32981/39904/35796/42906/36390/36876/40715/43736/42438/36488/31253/36271/42846/34140/33988/36578/36992/31344/32348/33544/33505/34680/40359/2768929/33185/43276/3771960/3771965/261626/43310/36127",93
"GO:0001664","G protein-coupled receptor binding","20/2553","63/12387",0.0250025661663325,0.0250025661663325,0.0769691709191964,"34007/36104/53554/42683/38993/35975/42560/31712/35078/35922/31970/36384/38434/41170/45845/246525/33944/3346202/34009/41104",20
"GO:0042393","histone binding","26/2553","87/12387",0.0256182416806275,0.0256182416806275,0.078146154743503,"31181/34064/31722/41168/39551/34530/33906/31254/37024/38865/37767/40358/33015/40170/44451/41034/42696/3355109/34250/44879/42428/33505/43730/44889/33185/31948",26
"GO:0019887","protein kinase regulator activity","25/2553","83/12387",0.0257042029419759,0.0257042029419759,0.078146154743503,"33156/32132/38017/40305/34924/43724/36041/41341/33214/34974/36295/41912/32771/40998/32407/42971/39340/41034/42515/34250/32752/44233/35378/39858/41801",25
"GO:0048018","receptor ligand activity","31/2553","108/12387",0.0278086452478553,0.0278086452478553,0.0840222224837734,"33995/34007/36054/32999/246538/59235/32813/39150/35975/43804/42560/36295/39151/37921/31712/42101/34510/33994/37007/34192/38047/3346149/41170/45845/42313/36937/3346202/34009/42709/42737/43146",31
"GO:0005342","organic acid transmembrane transporter activity","28/2553","96/12387",0.0288919308890893,0.0288919308890893,0.0862307308307222,"43265/39231/31082/32924/32925/36577/39232/35911/39662/40080/35941/31271/41640/35499/32986/36764/34863/32694/37772/34251/38104/33600/37157/35578/36630/39410/31198/42268",28
"GO:0046943","carboxylic acid transmembrane transporter activity","28/2553","96/12387",0.0288919308890893,0.0288919308890893,0.0862307308307222,"43265/39231/31082/32924/32925/36577/39232/35911/39662/40080/35941/31271/41640/35499/32986/36764/34863/32694/37772/34251/38104/33600/37157/35578/36630/39410/31198/42268",28
"GO:0016757","glycosyltransferase activity","47/2553","176/12387",0.0302053867424991,0.0302053867424991,0.0896044965566958,"246627/36717/33481/32252/30970/32836/261610/326151/33807/37419/43124/34742/42774/19835548/33510/39265/34409/43240/36564/41867/40055/19835383/37516/34282/38374/38561/34835/38315/31056/3772101/36614/43563/36079/3355109/39608/318981/38346/37198/31480/35138/39262/33276/40314/38288/44058/33485/33512",47
"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","92/2553","373/12387",0.0305737837095142,0.0305737837095142,0.0898151311375955,"38084/36104/48971/41694/43772/45894/39557/44920/35277/41825/30976/49297/47091/43391/37132/35221/34803/117365/32049/42934/39666/41140/31945/32142/32777/14462605/39332/48581/42382/31332/40652/37888/33418/32627/31215/53434/31497/31271/31194/39922/40961/33103/39594/50149/38244/34148/42362/42845/34658/31581/43319/34636/43787/38193/40170/33541/41203/36384/43771/43186/33495/32981/39904/35796/42906/36390/36876/40715/43736/42438/36488/31253/36271/42846/34140/33988/36578/36992/31344/32348/33544/33505/34680/40359/2768929/33185/43276/3771960/3771965/261626/43310/36127",92
"GO:0030546","signaling receptor activator activity","32/2553","113/12387",0.0308913774591357,0.0308913774591357,0.0898151311375955,"33995/34007/36054/32999/246538/59235/32813/39150/35975/43804/42560/36295/41912/39151/37921/31712/42101/34510/33994/37007/34192/38047/3346149/41170/45845/42313/36937/3346202/34009/42709/42737/43146",32
"GO:0005126","cytokine receptor binding","7/2553","16/12387",0.0310103640949268,0.0310103640949268,0.0898151311375955,"33995/36054/32080/31712/33994/42428/31746",7
"GO:0051219","phosphoprotein binding","7/2553","16/12387",0.0310103640949268,0.0310103640949268,0.0898151311375955,"42504/33203/45278/33840/38961/41144/32202",7
"GO:0016462","pyrophosphatase activity","91/2553","369/12387",0.0314560002874095,0.0314560002874095,0.0905699079482687,"38084/36104/48971/41694/43772/45894/39557/44920/35277/41825/30976/49297/47091/43391/37132/35221/34803/117365/32049/42934/39666/41140/31945/32142/32777/14462605/39332/48581/42382/31332/40652/37888/33418/32627/31215/53434/31271/31194/39922/40961/33103/39594/50149/38244/34148/42362/42845/34658/31581/43319/34636/43787/38193/40170/33541/41203/36384/43771/43186/33495/32981/39904/35796/42906/36390/36876/40715/43736/42438/36488/31253/36271/42846/34140/33988/36578/36992/31344/32348/33544/33505/34680/40359/2768929/33185/43276/3771960/3771965/261626/43310/36127",91
